stamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23
1727351623.613227367, -0.599, 0.795, 0.092, -80.082, -0.780, -0.555, -0.289, -60.769, -0.178, -0.245, 0.953, -6.813
1727351624.619435787, -0.419, 0.899, 0.126, -80.081, -0.881, -0.369, -0.295, -60.855, -0.219, -0.235, 0.947, -6.843
1727351625.712428093, -0.661, 0.747, 0.068, -80.082, -0.735, -0.626, -0.261, -60.712, -0.152, -0.223, 0.963, -6.800
1727351626.718761921, -0.387, 0.911, 0.139, -80.081, -0.894, -0.335, -0.297, -60.844, -0.224, -0.239, 0.945, -6.844
1727351627.714549780, -0.848, 0.530, 0.016, -80.042, -0.515, -0.816, -0.263, -60.531, -0.127, -0.231, 0.965, -6.743
1727351628.716217518, -0.971, 0.238, 0.037, -79.820, -0.241, -0.955, -0.172, -60.081, -0.006, -0.176, 0.984, -6.664
1727351629.718576193, -0.716, 0.694, 0.079, -79.805, -0.697, -0.704, -0.137, -59.949, -0.039, -0.154, 0.987, -6.686
1727351630.714622259, -0.734, 0.651, 0.194, -79.633, -0.673, -0.734, -0.084, -59.471, 0.088, -0.192, 0.977, -6.627
1727351631.716897964, -0.761, 0.619, 0.194, -79.582, -0.645, -0.752, -0.132, -58.866, 0.064, -0.225, 0.972, -6.577
1727351632.715741396, -0.787, 0.589, 0.182, -79.470, -0.614, -0.776, -0.145, -58.219, 0.056, -0.226, 0.973, -6.492
1727351633.716590881, -0.793, 0.555, 0.251, -79.287, -0.599, -0.784, -0.159, -57.579, 0.108, -0.276, 0.955, -6.423
1727351634.715850115, -0.657, 0.711, 0.250, -79.196, -0.752, -0.643, -0.148, -57.051, 0.055, -0.285, 0.957, -6.360
1727351635.715927124, -0.597, 0.765, 0.242, -79.224, -0.802, -0.564, -0.197, -56.514, -0.014, -0.312, 0.950, -6.241
1727351636.715800047, -0.572, 0.775, 0.270, -79.231, -0.818, -0.512, -0.263, -56.054, -0.065, -0.371, 0.926, -6.139
1727351637.716120005, -0.366, 0.868, 0.334, -79.249, -0.924, -0.298, -0.238, -55.700, -0.107, -0.396, 0.912, -6.040
1727351638.715351105, -0.228, 0.937, 0.263, -79.480, -0.968, -0.191, -0.161, -55.235, -0.101, -0.292, 0.951, -5.883
1727351639.715894461, 0.063, 0.997, 0.055, -79.961, -0.997, 0.065, -0.044, -54.759, -0.048, -0.052, 0.998, -5.779
1727351640.716784000, 0.363, 0.931, -0.036, -80.534, -0.931, 0.364, 0.002, -54.424, 0.015, 0.033, 0.999, -5.763
1727351641.716558695, -0.077, 0.993, -0.084, -80.902, -0.996, -0.074, 0.041, -54.136, 0.034, 0.087, 0.996, -5.789
1727351642.716044903, -0.191, 0.978, -0.089, -81.241, -0.981, -0.194, -0.031, -53.630, -0.047, 0.081, 0.996, -5.813
1727351643.716399193, -0.248, 0.962, -0.114, -81.640, -0.962, -0.258, -0.087, -53.084, -0.114, 0.088, 0.990, -5.801
1727351644.717458010, -0.442, 0.886, -0.143, -81.902, -0.897, -0.439, 0.052, -52.500, -0.017, 0.152, 0.988, -5.820
1727351645.718651056, -0.324, 0.930, -0.172, -82.212, -0.944, -0.308, 0.114, -51.797, 0.054, 0.199, 0.978, -5.929
1727351646.715741634, -0.617, 0.773, -0.147, -82.278, -0.778, -0.627, -0.031, -51.460, -0.116, 0.095, 0.989, -5.947
1727351647.716513157, -0.669, 0.734, -0.113, -82.280, -0.742, -0.668, 0.053, -50.737, -0.036, 0.119, 0.992, -5.991
1727351648.716793299, -0.621, 0.773, -0.130, -82.346, -0.781, -0.623, 0.031, -49.986, -0.057, 0.121, 0.991, -6.019
1727351649.717359066, -0.572, 0.808, -0.140, -82.423, -0.819, -0.572, 0.043, -49.224, -0.045, 0.139, 0.989, -6.060
1727351650.617048264, -0.586, 0.800, -0.130, -82.530, -0.808, -0.589, 0.015, -48.779, -0.065, 0.113, 0.991, -6.104
1727351651.716983557, -0.683, 0.714, -0.156, -82.536, -0.723, -0.690, 0.009, -48.830, -0.101, 0.119, 0.988, -6.100
1727351652.717585802, -0.989, 0.047, -0.137, -82.472, -0.053, -0.998, 0.038, -48.980, -0.135, 0.045, 0.990, -6.105
1727351653.717699289, -0.990, 0.045, -0.137, -82.452, -0.051, -0.998, 0.036, -48.959, -0.135, 0.043, 0.990, -6.086
1727351654.717592955, -0.935, -0.336, -0.117, -82.244, 0.332, -0.942, 0.049, -48.844, -0.126, 0.007, 0.992, -6.054
1727351655.718453646, -0.928, -0.348, -0.133, -81.656, 0.348, -0.937, 0.024, -48.580, -0.133, -0.024, 0.991, -5.982
1727351656.718612432, -0.524, -0.838, -0.155, -81.497, 0.845, -0.534, 0.027, -48.584, -0.105, -0.117, 0.988, -5.947
