stamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23
1725981208.349084377, 0.279, 0.960, 0.014, 1.946, -0.956, 0.276, 0.094, 4.394, 0.086, -0.040, 0.995, 0.986
1725981209.648778200, 0.280, 0.960, 0.012, 1.948, -0.956, 0.277, 0.100, 4.386, 0.093, -0.039, 0.995, 0.982
1725981211.148596287, 0.280, 0.960, 0.012, 1.948, -0.955, 0.277, 0.101, 4.387, 0.093, -0.040, 0.995, 0.978
1725981212.448867798, 0.280, 0.960, 0.013, 1.954, -0.955, 0.277, 0.101, 4.393, 0.094, -0.040, 0.995, 0.980
1725981213.748592138, 0.280, 0.960, 0.013, 1.954, -0.956, 0.277, 0.101, 4.394, 0.093, -0.041, 0.995, 0.983
1725981215.048545837, 0.280, 0.960, 0.013, 1.950, -0.955, 0.277, 0.102, 4.390, 0.094, -0.041, 0.995, 0.979
1725981216.448575497, 0.280, 0.960, 0.013, 1.954, -0.955, 0.278, 0.101, 4.392, 0.094, -0.041, 0.995, 0.979
1725981217.848764420, 0.281, 0.960, 0.013, 1.946, -0.955, 0.278, 0.101, 4.387, 0.094, -0.041, 0.995, 0.977
1725981219.148708582, 0.280, 0.960, 0.013, 1.950, -0.955, 0.278, 0.102, 4.390, 0.094, -0.041, 0.995, 0.976
1725981220.548562050, 0.280, 0.960, 0.013, 1.952, -0.955, 0.277, 0.102, 4.392, 0.094, -0.041, 0.995, 0.977
1725981221.948738575, 0.281, 0.960, 0.013, 1.949, -0.955, 0.278, 0.101, 4.390, 0.094, -0.041, 0.995, 0.976
1725981223.348425627, 0.281, 0.960, 0.013, 1.946, -0.955, 0.278, 0.102, 4.387, 0.094, -0.041, 0.995, 0.977
